,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
0,342.449,160.546,338.518,149.754,324.797,131.925,340.436,154.299,322.567,127.999,342.666,127.999,322.408,160.498,342.826,160.498
1,342.449,160.546,338.518,149.754,324.797,131.925,340.436,154.299,322.567,127.999,342.666,127.999,322.408,160.498,342.826,160.498
2,342.449,160.546,338.518,149.754,324.797,131.925,340.436,154.299,322.567,127.999,342.666,127.999,322.408,160.498,342.826,160.498
3,342.20289814814817,161.77475462962963,337.67075,150.7115,324.975344,130.763664,340.436,153.34,321.993,127.416,343.24,127.416,321.824,159.915,343.408,159.915
4,341.5321851851852,162.8787037037037,335.62499999999994,151.10799999999998,325.531112,129.754872,340.31275,154.34551388888892,321.993,126.30483333333333,343.24,126.30483333333333,321.824,158.80383333333333,343.408,158.80383333333333
5,340.53825,163.813875,335.625,151.108,326.495408,128.959248,339.931,155.36311111111112,321.99300000000005,125.19366666666667,343.24,125.19366666666667,321.82400000000007,157.69266666666667,343.408,157.69266666666667
6,339.3224814814815,164.53629629629629,334.4214,151.108,327.899336,128.437416,339.27275,156.30587500000001,321.993,124.0825,343.24,124.0825,321.824,156.5815,343.408,156.5815
7,337.9862685185185,165.00199537037037,333.2178,151.108,329.774,128.25,338.32,157.08688888888892,321.993,122.97133333333332,343.24,122.97133333333332,321.824,155.47033333333331,343.408,155.47033333333331
8,336.631,165.167,332.0142,151.108,329.774,128.25,337.05475,157.61923611111112,321.993,121.86016666666666,343.24,121.86016666666666,321.824,154.35916666666665,343.408,154.35916666666665
9,336.63100000000003,165.167,330.8106,151.108,330.9112,128.25,335.45900000000006,157.81600000000003,321.993,120.749,343.24,120.749,321.824,153.248,343.408,153.248
10,335.48428571428576,165.16700000000003,329.607,151.108,332.0484,128.25,335.459,157.816,321.993,120.749,343.24,120.749,321.824,153.248,343.408,153.248
11,334.33757142857144,165.167,329.607,151.108,333.1856,128.25,334.32180000000005,157.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,333.19085714285717,165.16699999999997,327.56125000000003,150.7115,334.3228,128.25,333.18460000000005,157.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,332.0441428571429,165.167,326.7140000000001,149.754,335.46,128.25,332.04740000000004,157.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,330.8974285714286,165.167,326.71400000000006,149.754,335.46,128.25,330.91020000000003,157.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,329.75071428571437,165.167,326.71400000000006,148.66327272727273,337.33428000000004,128.437416,329.773,157.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,328.60400000000004,165.167,326.71400000000006,147.57254545454543,338.73816,128.959248,329.773,157.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,328.60400000000004,165.167,326.71400000000006,146.48181818181817,339.7026,129.754872,328.17759722222223,157.61930555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,327.2485833333334,165.00199537037037,326.71400000000006,145.3910909090909,340.25855999999993,130.763664,326.9124444444445,157.0871111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,325.91200000000003,164.53629629629629,326.71400000000006,144.3003636363636,340.4369999999999,131.925,325.959625,156.30625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,324.69575000000003,163.813875,326.71400000000006,143.20963636363638,0.0,0.0,325.30122222222224,155.36355555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,323.7013333333334,162.8787037037037,326.71400000000006,142.11890909090909,0.0,0.0,324.9193194444445,154.3458611111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,323.03025,161.7747546296296,326.71400000000006,141.02818181818182,0.0,0.0,324.79600000000005,153.33999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,322.78400000000005,160.54599999999996,326.71400000000006,139.93745454545453,0.0,0.0,324.79600000000005,153.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,322.78400000000005,160.546,326.71400000000006,138.84672727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,322.78400000000005,159.51913157894737,326.71400000000006,137.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,322.78400000000005,158.49226315789474,326.71400000000006,137.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,322.78400000000005,157.4653947368421,327.5612500000001,136.7985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,322.78400000000005,156.4385263157895,329.607,136.40200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,322.78400000000005,155.41165789473683,329.607,136.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,322.78400000000005,154.38478947368418,330.8106,136.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,322.78400000000005,153.35792105263158,332.0142,136.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,322.78400000000005,152.33105263157893,333.2178,136.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
