,x1,y1,x2,y2,x3,y3,x4,y4
0,72.0,54.0,72.0,72.0,180.0,126.0,72.0,108.0
1,72.0,54.0,72.0,72.0,180.0,126.0,72.0,108.0
2,72.0,54.0,72.0,72.0,180.0,126.0,72.0,108.0
3,73.01408450704226,54.0,73.01408450704226,72.0,179.97220637105167,125.12903225806451,73.01408450704226,108.0
4,74.0281690140845,54.00000000000001,74.0281690140845,72.0,179.89003390285657,124.25806451612904,74.0281690140845,108.00000000000001
5,75.04225352112677,54.00000000000001,75.04225352112677,72.00000000000001,179.75529522338962,123.38709677419355,75.04225352112677,108.00000000000001
6,76.05633802816901,54.0,76.05633802816901,71.99999999999999,179.56980296062568,122.51612903225806,76.05633802816901,108.0
7,77.07042253521126,54.0,77.07042253521126,72.0,179.33536974253968,121.64516129032258,77.07042253521126,108.0
8,78.08450704225352,54.0,78.08450704225352,72.0,179.05380819710652,120.7741935483871,78.08450704225352,108.0
9,79.09859154929578,54.0,79.09859154929578,72.0,178.72693095230102,119.90322580645162,79.09859154929578,108.0
10,80.11267605633803,54.0,80.11267605633803,72.0,178.35655063609815,119.03225806451613,80.11267605633803,108.0
11,81.12676056338027,53.99999999999999,81.12676056338027,72.0,177.94447987647277,118.16129032258064,81.12676056338027,107.99999999999999
12,82.14084507042253,54.0,82.14084507042253,72.0,177.49253130139977,117.29032258064517,82.14084507042253,108.0
13,83.15492957746478,54.0,83.15492957746478,72.0,177.00251753885402,116.41935483870968,83.15492957746478,108.0
14,84.16901408450704,54.0,84.16901408450704,72.0,176.47625121681045,115.54838709677419,84.16901408450704,108.0
15,85.1830985915493,54.0,85.1830985915493,72.0,175.91554496324395,114.6774193548387,85.1830985915493,108.0
16,86.19718309859155,54.00000000000001,86.19718309859155,72.0,175.32221140612936,113.80645161290323,86.19718309859155,108.00000000000001
17,87.21126760563381,54.0,87.21126760563381,72.0,174.69806317344165,112.93548387096774,87.21126760563381,108.0
18,88.22535211267606,53.99999999999999,88.22535211267606,72.0,174.04491289315564,112.06451612903226,88.22535211267606,107.99999999999999
